,carat,cut,color,clarity,depth,table,x,y,z,city,price
0,1.21,Premium,J,VS2,62.4,58.0,6.83,6.79,4.25,Dubai,4268
1,0.32,Very Good,H,VS2,63.0,57.0,4.35,4.38,2.75,Kimberly,505
2,0.71,Fair,G,VS1,65.5,55.0,5.62,5.53,3.65,Las Vegas,2686
3,0.41,Good,D,SI1,63.8,56.0,4.68,4.72,3.0,Kimberly,738
4,1.02,Ideal,G,SI1,60.5,59.0,6.55,6.51,3.95,Dubai,4882
5,1.52,Ideal,F,SI2,61.2,57.0,7.45,7.39,4.54,Tel Aviv,9057
6,1.52,Ideal,J,VS1,62.3,58.0,7.32,7.35,4.57,Kimberly,8608
7,0.31,Ideal,H,VS1,61.8,54.2,4.33,4.37,2.69,Zurich,557
8,1.14,Ideal,G,SI1,61.7,56.0,6.71,6.75,4.15,Antwerp,6741
9,0.44,Premium,E,SI1,62.3,59.0,4.88,4.84,3.03,Las Vegas,1040
10,1.02,Premium,I,SI1,58.0,58.0,6.84,6.6,3.9,Tel Aviv,4284
11,0.93,Ideal,I,SI2,62.3,57.0,6.2,6.22,3.87,Madrid,3101
12,1.51,Premium,G,VS1,60.1,58.0,7.48,7.45,4.49,Paris,14507
13,1.65,Ideal,H,SI2,61.6,55.0,7.58,7.62,4.68,Surat,10349
14,1.5,Good,G,SI2,57.5,63.0,7.53,7.49,4.32,Paris,6006
15,0.43,Ideal,D,VS1,62.1,56.0,4.85,4.87,3.02,Amsterdam,1207
16,0.38,Premium,G,VS2,60.8,61.0,4.66,4.65,2.83,Surat,983
17,0.85,Ideal,I,VS1,61.9,56.0,6.08,6.1,3.77,Luxembourg,3548
18,1.53,Premium,D,SI2,60.7,60.0,7.45,7.41,4.51,Tel Aviv,11078
19,0.71,Premium,G,SI2,62.0,59.0,5.69,5.65,3.52,London,1740
20,1.3,Ideal,G,IF,61.3,56.0,7.03,7.06,4.32,Amsterdam,12932
21,0.3,Premium,G,SI1,62.9,59.0,4.28,4.24,2.68,Madrid,574
22,1.0,Ideal,I,SI2,61.7,56.0,6.45,6.41,3.97,London,2873
23,1.0,Premium,G,VS2,61.6,54.0,6.49,6.46,3.99,Antwerp,6216
24,0.9,Premium,D,SI1,61.7,56.0,6.16,6.09,3.78,New York City,3568
25,1.55,Very Good,H,SI1,63.2,57.0,7.35,7.31,4.64,Antwerp,7066
26,1.01,Premium,H,SI2,61.1,60.0,6.46,6.41,3.93,Antwerp,3054
27,0.35,Ideal,H,VVS1,62.0,53.9,4.5,4.53,2.8,Amsterdam,743
28,0.97,Ideal,H,VVS1,60.4,57.0,6.4,6.48,3.89,Zurich,6801
29,1.19,Ideal,E,SI2,60.2,57.0,6.84,6.87,4.13,Surat,5717
30,0.7,Very Good,H,VS1,62.1,56.0,5.65,5.68,3.52,Kimberly,2422
31,0.8,Very Good,H,SI1,63.2,54.0,5.93,5.88,3.73,Kimberly,2553
